vin,county,city,postal_code,model_year,make,model,electric_vehicle_type,electric_range,electric_utility,2020_census_tract,longitude,latitude
1FTZR0817Y,King,Seattle,98117,2000,FORD,RANGER,BEV,58,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500,-122.38418,47.70044
1G6RM1E43G,Clark,Battle Ground,98604,2016,CADILLAC,ELR,PHEV,36,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011040408,-122.5331,45.78092
1GYKPRRK5R,Pierce,Lakewood,98498,2024,CADILLAC,LYRIQ,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53053072108,-122.54764,47.17669
YV4H60CN1P,Spokane,Spokane,99224,2023,VOLVO,XC90,PHEV,32,"BONNEVILLE POWER ADMINISTRATION, AVISTA CORP, INLAND POWER & LIGHT COMPANY",53063013503,-117.46996,47.59431
1G1RH6E46E,Spokane,Spokane Valley,99206,2014,CHEVROLET,VOLT,PHEV,38,"BONNEVILLE POWER ADMINISTRATION, AVISTA CORP, INLAND POWER & LIGHT COMPANY",53063012600,-117.24549,47.6534
7FCTGCAP4S,King,Redmond,98052,2025,RIVIAN,R1T,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032313,-122.13158,47.67858
3FMTK3R76R,King,Sammamish,98029,2024,FORD,MUSTANG MACH-E,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032222,-122.00292,47.54748
1G1FW6S05K,King,Enumclaw,98022,2019,CHEVROLET,BOLT EV,BEV,238,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033031400,-121.99136,47.20433
KNDAEFS54S,King,Sammamish,98075,2025,KIA,EV9,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032213,-122.03539,47.61344
WAUCJBFWXP,Franklin,Pasco,99301,2023,AUDI,E-TRON GT,BEV,0,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF FRANKLIN COUNTY",53021020603,-119.09467,46.23542
7SAXCBE57S,King,Issaquah,98029,2025,TESLA,MODEL X,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032220,-122.00292,47.54748
JHMZC5F35K,Snohomish,Snohomish,98296,2019,HONDA,CLARITY,PHEV,47,PUGET SOUND ENERGY INC,53061052114,-122.1389,47.87115
2C4RC1N71M,King,Seattle,98126,2021,CHRYSLER,PACIFICA,PHEV,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009801,-122.36893,47.54701
JTJHKCFZ0N,Snohomish,Everett,98208,2022,LEXUS,NX,PHEV,37,PUGET SOUND ENERGY INC,53061041609,-122.18637,47.89251
KM8HB3A76R,Snohomish,Edmonds,98020,2024,HYUNDAI,KONA ELECTRIC,BEV,0,PUGET SOUND ENERGY INC,53061050403,-122.37689,47.81116
YSREE3YBXS,King,Des Moines,98198,2025,POLESTAR,POLESTAR 3,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033030003,-122.32192,47.40139
WP1AE2AY9L,King,Seattle,98105,2020,PORSCHE,CAYENNE,PHEV,14,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101,-122.31307,47.66127
WAUBHBFW4R,King,Seattle,98144,2024,AUDI,RS E-TRON GT,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400,-122.30866,47.57874
1GKB0NDE2S,King,Renton,98057,2025,GMC,HUMMER EV SUV,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033026200,-122.20489,47.47532
WAUEJBFW7P,King,Sammamish,98075,2023,AUDI,E-TRON GT,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032217,-122.03539,47.61344
WP0BA2Y11P,Yakima,Yakima,98902,2023,PORSCHE,TAYCAN,BEV,0,PACIFICORP,53077000500,-120.52401,46.59739
WAUVPBF2XM,Clark,Vancouver,98665,2021,AUDI,A7 E,PHEV,24,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011041005,-122.64443,45.67871
1G1RB6S59K,King,Seattle,98119,2019,CHEVROLET,VOLT,PHEV,53,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902,-122.3684,47.64586
KM8HC3A67S,Pierce,South Hill,98375,2025,HYUNDAI,KONA ELECTRIC,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53053073126,-122.30855,47.10424
W1N9M1DB7R,King,Burien,98166,2024,MERCEDES-BENZ,EQB-CLASS,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033027800,-122.34102,47.46593
WVGGNPE26M,King,Seattle,98144,2021,VOLKSWAGEN,ID.4,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500,-122.30866,47.57874
WP0AB2Y11P,King,Seattle,98199,2023,PORSCHE,TAYCAN,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600,-122.40092,47.65908
